city,Operateur,2G,3G,4G
Pouldreuzic,20801,1,1,0
Douarnenez,20810,1,1,1
Douarnenez,20820,1,1,1
Douarnenez,20815,0,1,1
Landudec,20801,1,1,0
Le Relecq-Kerhuon,20810,1,1,1
Douarnenez,20801,1,1,1
Guipavas,20815,0,1,1
Plougastel-Daoulas,20801,1,1,1
Douarnenez,20820,0,1,0
Telgruc-sur-Mer,20810,1,1,0
Telgruc-sur-Mer,20820,1,1,1
Telgruc-sur-Mer,20815,0,1,1
Telgruc-sur-Mer,20801,1,1,1
Douarnenez,20810,1,1,0
Plogastel-Saint-Germain,20815,0,1,0
Plogastel-Saint-Germain,20810,1,1,1
Douarnenez,20801,0,1,0
Plougastel-Daoulas,20801,1,0,0
Plougastel-Daoulas,20820,1,1,0
Guilvinec,20820,1,1,1
Guilvinec,20810,1,1,1
Guilvinec,20801,0,1,0
Plougastel-Daoulas,20815,0,1,1
Plonéour-Lanvern,20820,1,1,1
Plonéour-Lanvern,20815,0,1,1
Plonéour-Lanvern,20810,1,1,1
Plomeur,20820,1,1,1
Plomeur,20810,1,1,1
Le Drennec,20820,1,1,0
Guilvinec,20801,1,1,1
Saint-Jean-Trolimon,20810,1,1,0
Plomeur,20801,1,1,0
Treffiagat,20820,1,1,0
Treffiagat,20815,0,1,1
Kersaint-Plabennec,20801,1,1,1
Ploudaniel,20810,1,1,0
Plonéour-Lanvern,20801,1,1,0
Plogastel-Saint-Germain,20810,1,1,0
Kerlouan,20801,1,1,0
Kerlouan,20820,1,1,1
Kerlouan,20810,1,1,1
La Forest-Landerneau,20810,1,1,0
La Forest-Landerneau,20820,1,1,0
Pont-l'Abbé,20801,0,1,1
Lesneven,20820,1,1,1
Lesneven,20801,1,1,1
Loperhet,20810,1,1,0
Loperhet,20801,1,1,1
Lesneven,20810,1,0,0
Plobannalec-Lesconil,20810,1,1,0
Plobannalec-Lesconil,20801,1,1,0
Plogastel-Saint-Germain,20801,1,1,0
Le Juch,20810,1,1,1
Lesneven,20815,0,1,1
Lesneven,20801,1,1,0
Logonna-Daoulas,20801,1,1,0
Logonna-Daoulas,20820,1,1,0
Logonna-Daoulas,20815,0,1,1
Pont-l'Abbé,20810,1,1,1
Pont-l'Abbé,20801,1,1,1
Pont-l'Abbé,20820,1,1,1
Le Juch,20820,1,1,0
Ploudaniel,20820,1,1,0
Ploudaniel,20815,0,1,1
Ploudaniel,20801,1,1,0
Plonéis,20820,1,1,0
Plonéis,20815,0,1,1
Dirinon,20820,1,1,1
Loctudy,20820,1,1,1
Loctudy,20810,1,1,1
Loctudy,20801,0,1,0
Guengat,20810,1,1,0
Landerneau,20810,1,1,0
Plouider,20810,1,1,0
Plouider,20815,0,1,0
Landerneau,20801,1,1,0
Landerneau,20820,1,1,0
Plonévez-Porzay,20801,1,1,1
Plonévez-Porzay,20820,1,1,1
Plonévez-Porzay,20815,0,1,1
Guengat,20820,1,1,0
Landerneau,20810,1,1,1
Landerneau,20815,0,1,1
Daoulas,20815,0,1,1
Irvillac,20810,1,1,0
Irvillac,20801,1,1,1
Loctudy,20815,0,1,1
Loctudy,20801,1,1,1
Plouédern,20810,1,1,1
Plouédern,20801,1,0,0
Plouédern,20820,1,1,1
Plouédern,20815,0,1,0
Pluguffan,20820,1,1,1
Pluguffan,20810,1,1,1
Combrit,20810,1,1,1
Combrit,20801,1,1,1
Combrit,20815,0,1,1
Combrit,20820,1,1,1
Hôpital-Camfrout,20820,1,0,0
Hôpital-Camfrout,20810,1,1,1
Pencran,20810,1,0,0
Landerneau,20815,0,1,0
Landerneau,20801,1,1,1
Pluguffan,20801,1,1,0
Plogonnec,20801,1,1,0
Hanvec,20801,1,1,0
Plomelin,20801,1,1,0
Hanvec,20820,1,1,0
Hanvec,20815,0,1,1
Plomelin,20820,1,1,1
Plomelin,20815,0,1,1
Plomelin,20810,1,1,1
Quimper,20801,1,1,0
Plounévez-Lochrist,20815,0,1,0
Plounévez-Lochrist,20801,1,1,1
Quimper,20820,1,1,1
Quimper,20810,1,1,1
Quimper,20815,0,1,0
Quimper,20801,1,1,1
Dinéault,20820,1,1,0
Bénodet,20810,1,1,1
Bénodet,20820,1,1,1
Bénodet,20801,1,1,1
Dinéault,20801,0,1,0
Quéménéven,20820,1,1,1
Quéménéven,20810,1,1,1
Quéménéven,20815,0,1,1
Pont-de-Buis-lès-Quimerch,20820,1,1,1
Pont-de-Buis-lès-Quimerch,20810,1,1,1
Pont-de-Buis-lès-Quimerch,20801,1,1,0
Quimper,20810,1,0,0
Pont-de-Buis-lès-Quimerch,20815,0,1,1
Plounévez-Lochrist,20820,1,1,1
Plounévez-Lochrist,20810,1,1,1
Quimper,20801,1,0,0
Saint-Derrien,20801,1,1,0
Saint-Derrien,20820,1,1,0
Saint-Derrien,20810,1,1,0
Saint-Derrien,20815,0,1,0
Quimper,20801,0,0,0
Plouescat,20820,1,1,1
Plouescat,20801,1,1,1
Plouescat,20815,0,1,1
Quimper,20815,0,1,1
Gouesnach,20810,1,1,1
Gouesnach,20815,0,1,1
Gouesnach,20820,1,1,1
Quimper,20801,0,1,0
Quimper,20820,1,0,0
Saint-Servais,20801,0,0,1
Pleuven,20820,1,1,1
Pleuven,20810,1,1,1
Pleuven,20801,1,1,0
Saint-Ségal,20801,1,1,0
Plouescat,20810,1,1,1
Châteaulin,20801,1,1,1
Bodilis,20820,1,1,0
Bodilis,20810,0,1,0
Bodilis,20815,0,1,0
Bodilis,20801,0,1,0
Pont-de-Buis-lès-Quimerch,20810,0,1,0
Ergué-Gabéric,20801,1,1,0
Ergué-Gabéric,20820,1,1,1
Ergué-Gabéric,20815,0,1,1
Ergué-Gabéric,20810,1,1,1
Pont-de-Buis-lès-Quimerch,20801,1,1,1
Ploudiry,20801,1,1,1
Châteaulin,20820,1,1,1
Châteaulin,20810,1,1,1
Fouesnant,20820,1,1,1
Fouesnant,20815,0,1,1
Fouesnant,20810,1,1,1
Plouzévédé,20820,1,1,1
Plouzévédé,20810,1,1,1
Plouzévédé,20815,0,1,1
Châteaulin,20815,0,1,1
Fouesnant,20801,1,1,1
Sizun,20820,1,1,0
Sizun,20815,0,1,1
Ergué-Gabéric,20801,0,1,0
Saint-Évarzec,20810,1,1,1
Saint-Évarzec,20801,1,1,0
Saint-Évarzec,20820,1,1,1
Briec,20801,1,1,0
Landivisiau,20820,1,0,0
Cléder,20801,1,1,1
Cléder,20815,0,1,1
Fouesnant,20801,0,1,0
Cléder,20810,1,1,1
Cléder,20820,1,1,1
Landivisiau,20820,1,1,1
Landivisiau,20810,1,1,1
Landivisiau,20801,0,1,0
Briec,20820,1,1,1
Briec,20810,1,1,1
Briec,20815,0,1,1
Fouesnant,20801,0,1,1
Landivisiau,20801,1,1,1
Saint-Évarzec,20815,0,1,1
Landivisiau,20801,1,1,0
La Forêt-Fouesnant,20810,1,1,1
La Forêt-Fouesnant,20820,1,1,1
Lampaul-Guimiliau,20801,1,1,0
Lampaul-Guimiliau,20810,1,1,1
Lampaul-Guimiliau,20820,1,1,1
La Forêt-Fouesnant,20801,1,1,0
Landivisiau,20801,0,1,1
Sibiril,20820,1,1,1
Sibiril,20810,1,1,1
Plougourvest,20820,1,1,1
Plougourvest,20810,1,1,1
Landivisiau,20815,0,1,1
Briec,20820,1,0,0
Plouvorn,20801,1,1,1
La Forêt-Fouesnant,20801,1,1,1
Edern,20801,1,1,1
Saint-Rivoal,20820,1,1,0
Saint-Rivoal,20810,1,1,0
Saint-Rivoal,20815,0,1,0
Saint-Rivoal,20801,1,1,0
Guiclan,20820,1,1,1
Saint-Yvi,20801,1,1,0
Saint-Yvi,20820,1,1,1
Saint-Yvi,20815,0,1,1
Saint-Yvi,20810,1,1,1
Concarneau,20801,1,1,0
Concarneau,20810,1,1,1
Concarneau,20820,1,1,1
Concarneau,20815,0,1,1
Concarneau,20801,1,1,1
Plouénan,20810,1,1,1
Plouénan,20820,1,1,1
Brasparts,20820,1,1,1
Brasparts,20810,1,1,1
Île-de-Batz,20820,1,0,0
Pleyben,20810,1,1,1
Pleyben,20820,1,1,1
Pleyben,20815,0,1,1
Brasparts,20801,1,1,0
Santec,20810,1,1,1
Santec,20820,1,1,1
Pleyben,20801,1,1,0
Saint-Pol-de-Léon,20815,0,1,1
Saint-Pol-de-Léon,20801,1,1,0
Île-de-Batz,20810,0,1,0
Elliant,20820,1,1,1
Elliant,20810,1,1,1
Plouénan,20815,0,1,1
Guiclan,20801,1,1,1
Saint-Thois,20820,1,1,1
Saint-Thois,20810,1,1,1
Roscoff,20801,1,1,0
Saint-Pol-de-Léon,20810,1,1,1
Saint-Pol-de-Léon,20801,1,1,1
Roscoff,20810,1,1,1
Roscoff,20820,1,1,1
Saint-Pol-de-Léon,20820,1,1,1
Saint-Pol-de-Léon,20815,0,1,0
Trégunc,20801,0,1,0
Elliant,20801,1,1,0
Elliant,20815,0,1,1
Roscoff,20815,0,1,0
Roscoff,20801,0,1,1
Saint-Thégonnec Loc-Eguiner,20820,1,1,1
Saint-Thégonnec Loc-Eguiner,20815,0,1,1
Saint-Thégonnec Loc-Eguiner,20810,1,1,1
Trégunc,20815,0,1,0
Trégunc,20801,1,1,0
Melgven,20801,1,1,0
Melgven,20810,1,1,1
Melgven,20820,1,1,1
Melgven,20815,0,1,1
Trégunc,20820,1,1,1
Trégunc,20810,1,1,1
Trégunc,20801,1,1,1
Rosporden,20801,0,1,1
Rosporden,20820,1,1,1
Rosporden,20810,1,1,1
Plounéour-Ménez,20801,1,1,0
Plounéour-Ménez,20820,1,1,1
Plounéour-Ménez,20815,0,1,1
Plounéour-Ménez,20810,1,1,1
Carantec,20810,1,1,1
Carantec,20801,1,1,0
Carantec,20820,1,1,1
Névez,20801,1,1,0
Taulé,20815,0,1,1
Taulé,20801,1,1,0
Taulé,20820,1,1,0
Taulé,20810,1,1,0
Coray,20801,1,1,0
Pleyber-Christ,20810,1,1,1
Pleyber-Christ,20801,1,1,1
Pleyber-Christ,20820,1,1,1
Coray,20810,1,1,1
Coray,20820,1,1,1
Coray,20815,0,1,1
Sainte-Sève,20820,1,1,0
Sainte-Sève,20801,1,1,0
Pleyber-Christ,20815,0,1,1
Châteauneuf-du-Faou,20801,1,1,1
Châteauneuf-du-Faou,20820,1,1,1
Châteauneuf-du-Faou,20810,1,1,1
Locquénolé,20820,1,1,0
Locquénolé,20810,1,1,0
Locquénolé,20815,0,1,0
Locquénolé,20801,1,1,0
Plonévez-du-Faou,20810,1,1,1
Plonévez-du-Faou,20820,1,1,1
Névez,20801,1,1,1
Névez,20820,1,1,1
Névez,20810,1,1,1
Saint-Martin-des-Champs,20801,1,1,1
Saint-Martin-des-Champs,20801,0,1,0
Rosporden,20815,0,1,1
Saint-Martin-des-Champs,20820,1,1,1
Châteauneuf-du-Faou,20815,0,1,1
Saint-Martin-des-Champs,20810,1,1,1
Saint-Martin-des-Champs,20815,0,1,1
Pont-Aven,20801,1,1,0
Pont-Aven,20801,1,1,1
Pont-Aven,20810,1,1,1
Pont-Aven,20820,1,1,1
Pont-Aven,20815,0,1,1
Morlaix,20820,1,0,0
Morlaix,20810,1,1,0
Morlaix,20820,1,1,0
Morlaix,20801,1,1,0
Morlaix,20815,0,1,1
Plourin-lès-Morlaix,20815,0,1,1
Le Cloître-Saint-Thégonnec,20820,1,1,1
Le Cloître-Saint-Thégonnec,20810,1,1,1
Morlaix,20810,1,1,1
Morlaix,20820,1,1,1
Morlaix,20801,1,1,1
Plourin-lès-Morlaix,20801,1,1,1
Riec-sur-Bélon,20820,1,1,0
Riec-sur-Bélon,20820,1,1,1
Riec-sur-Bélon,20810,1,1,1
Landeleau,20801,1,1,0
Riec-sur-Bélon,20801,1,1,0
Garlan,20810,1,1,0
Plourin-lès-Morlaix,20801,1,1,0
Plourin-lès-Morlaix,20820,1,1,1
Plourin-lès-Morlaix,20810,0,0,1
Plougasnou,20820,1,1,0
Plougasnou,20810,1,1,1
Plougasnou,20820,1,1,1
Plougasnou,20801,1,1,1
Riec-sur-Bélon,20801,1,1,1
Garlan,20801,1,1,0
Plouyé,20820,1,1,1
Plouyé,20810,1,1,1
Plouyé,20815,0,1,0
Plouyé,20801,1,1,0
Scaër,20820,1,1,1
Scaër,20810,1,1,1
Huelgoat,20820,1,1,1
Huelgoat,20810,0,0,1
Plougonven,20810,1,1,0
Bannalec,20820,1,1,1
Bannalec,20810,1,1,1
Bannalec,20801,1,1,0
Moëlan-sur-Mer,20801,1,1,0
Berrien,20820,1,1,1
Berrien,20810,1,1,1
Scaër,20815,0,1,1
Scaër,20801,1,1,1
Plouigneau,20820,1,1,0
Plouigneau,20815,0,1,1
Landeleau,20820,1,1,1
Landeleau,20810,1,1,1
Le Trévoux,20820,1,1,1
Le Trévoux,20810,1,1,1
Le Trévoux,20801,1,1,0
Saint-Thurien,20801,1,0,0
Riec-sur-Bélon,20815,0,1,1
Plougonven,20801,1,1,0
Moëlan-sur-Mer,20820,1,1,1
Moëlan-sur-Mer,20810,1,1,1
Moëlan-sur-Mer,20801,1,1,1
Plougonven,20820,1,1,0
Plougonven,20820,1,1,1
Lanmeur,20820,1,1,1
Lanmeur,20810,1,1,1
Lanmeur,20801,1,1,0
Cléden-Poher,20801,1,1,0
Lanmeur,20815,0,1,1
Guiscriff,20820,1,1,1
Guiscriff,20810,1,1,1
Poullaouen,20801,1,1,0
Plouigneau,20810,1,1,0
Plouigneau,20801,1,1,0
Clohars-Carnoët,20810,1,1,0
Clohars-Carnoët,20820,1,1,0
Clohars-Carnoët,20801,1,1,0
Gourin,20801,1,1,0
Poullaouen,20820,1,1,1
Poullaouen,20810,0,0,1
Poullaouen,20815,0,1,1
Saint-Hernin,20820,1,1,0
Saint-Hernin,20815,0,1,0
Saint-Hernin,20801,1,1,0
Saint-Hernin,20810,1,1,0
Quimperlé,20801,1,1,0
Locquirec,20810,1,1,1
Locquirec,20820,1,1,1
Quimperlé,20820,1,1,1
Quimperlé,20810,1,1,1
Quimperlé,20801,1,1,1
Clohars-Carnoët,20801,1,1,1
Clohars-Carnoët,20820,1,1,1
Clohars-Carnoët,20810,1,1,1
Gourin,20810,1,1,1
Gourin,20820,1,1,1
Quimperlé,20815,0,1,1
Quimperlé,20810,1,1,0
Carhaix-Plouguer,20815,0,1,1
Carhaix-Plouguer,20820,1,1,0
Guidel,20810,1,1,0
Guidel,20801,1,1,0
Plestin-les-Grèves,20820,1,1,1
Plestin-les-Grèves,20810,0,0,1
Carhaix-Plouguer,20801,0,1,1
Plestin-les-Grèves,20801,1,1,0
Plestin-les-Grèves,20815,0,1,1
Querrien,20815,0,1,1
Querrien,20820,1,1,1
Querrien,20810,1,1,1
Querrien,20801,1,1,0
Carhaix-Plouguer,20801,1,1,1
Plouégat-Moysan,20820,1,1,1
Plouégat-Moysan,20810,1,1,1
Carhaix-Plouguer,20801,1,1,0
Carhaix-Plouguer,20810,1,1,0
Guerlesquin,20820,1,1,0
Le Saint,20801,1,1,0
Guerlesquin,20815,0,1,1
Plouégat-Moysan,20801,1,1,0
Tréméven,20815,0,1,1
Tréméven,20801,1,1,0
Ploemeur,20801,1,1,0
Carhaix-Plouguer,20801,0,0,0
Rédené,20820,1,1,1
Rédené,20810,1,1,1
Carhaix-Plouguer,20820,1,1,1
Guidel,20801,1,1,1
Guidel,20820,1,1,1
Guidel,20810,1,1,1
Guerlesquin,20810,1,1,1
Guerlesquin,20820,1,1,1
Carhaix-Plouguer,20801,0,1,0
Groix,20810,1,1,0
Groix,20820,1,1,1
Groix,20801,1,1,1
Ploemeur,20810,1,1,0
Ploemeur,20820,0,1,0
Le Faouët,20801,1,1,1
Le Faouët,20815,0,1,1
Le Faouët,20820,1,1,1
Le Faouët,20810,1,1,1
Trébeurden,20801,1,1,1
Trébeurden,20810,1,1,1
Trébeurden,20820,1,1,1
Trébeurden,20820,1,1,0
Trébeurden,20815,0,1,1
Plourac'h,20810,1,1,0
Plourac'h,20820,1,1,0
Plourac'h,20815,0,1,0
Plourac'h,20801,1,1,0
Plounérin,20801,1,1,0
Trébeurden,20801,1,1,0
Plounérin,20820,1,0,0
Langonnet,20820,1,1,1
Langonnet,20810,1,1,1
Ploemeur,20801,1,1,1
Ploemeur,20820,1,1,0
Trébrivan,20801,1,1,0
Trédrez-Locquémeau,20810,1,1,0
Trédrez-Locquémeau,20820,1,1,1
Gestel,20801,1,1,0
Gestel,20820,1,1,1
Gestel,20810,1,1,0
Arzano,20820,1,1,1
Arzano,20810,1,1,1
Trédrez-Locquémeau,20820,1,1,0
Ploemeur,20810,1,1,1
Ploemeur,20820,1,1,1
Ploemeur,20815,0,1,1
Arzano,20801,1,1,0
Trébeurden,20810,0,0,1
Larmor-Plage,20801,1,1,1
Quéven,20801,1,1,0
Carnoët,20801,1,1,0
Quéven,20810,1,1,1
Quéven,20820,1,1,1
Quéven,20801,1,1,1
Quéven,20815,0,1,1
Meslan,20820,1,1,1
Meslan,20810,1,1,1
La Chapelle-Neuve,20820,1,1,0
La Chapelle-Neuve,20801,1,1,0
La Chapelle-Neuve,20815,0,1,0
La Chapelle-Neuve,20810,1,1,0
Paule,20820,1,1,1
Paule,20810,0,0,1
Paule,20815,0,1,1
Paule,20801,1,1,0
Trébeurden,20810,0,1,0
Paule,20820,1,1,0
Lorient,20820,1,1,1
Lorient,20810,1,1,1
Lorient,20815,0,1,1
Pleumeur-Bodou,20820,1,1,0
Pleumeur-Bodou,20820,1,1,1
Pleumeur-Bodou,20810,1,1,1
Pleumeur-Bodou,20815,0,1,1
Meslan,20801,1,1,0
Loguivy-Plougras,20810,1,1,1
Loguivy-Plougras,20820,1,1,1
Loguivy-Plougras,20815,0,1,1
Lorient,20801,1,1,1
Guilligomarc'h,20820,1,1,1
Guilligomarc'h,20810,1,1,1
Larmor-Plage,20810,1,1,1
Larmor-Plage,20820,1,1,1
Pont-Scorff,20820,1,1,1
Pont-Scorff,20810,1,1,0
Pont-Scorff,20801,1,1,0
Plouaret,20815,0,1,1
Plouaret,20801,1,1,1
Larmor-Plage,20801,1,1,0
Duault,20820,1,1,1
Duault,20810,1,1,1
Trégastel,20810,1,1,0
Lannion,20810,1,1,1
Lannion,20820,1,1,1
Lannion,20815,0,1,1
Pleumeur-Bodou,20801,1,1,1
Trégastel,20801,1,1,1
Cléguer,20801,1,1,0
Trégastel,20820,1,1,1
Trégastel,20810,0,0,1
Lannion,20801,1,1,1
Lannion,20810,0,1,0
Plounévez-Moëdec,20820,1,1,1
Plounévez-Moëdec,20810,1,1,0
Port-Louis,20801,1,1,0
Lannion,20820,1,1,0
Lanester,20815,0,1,1
Lanester,20801,1,1,1
Glomel,20801,1,1,0
Perros-Guirec,20820,1,1,0
Maël-Carhaix,20820,1,1,1
Maël-Carhaix,20810,1,1,1
Lannion,20810,0,0,1
Le Vieux-Marché,20810,1,1,0
Le Vieux-Marché,20820,1,1,1
Lannion,20801,1,1,0
Cléguer,20820,1,1,1
Cléguer,20810,1,1,1
Cléguer,20815,0,1,1
Caudan,20810,1,1,1
Locarn,20820,1,1,0
Locarn,20815,0,1,0
Locarn,20810,1,1,0
Locarn,20801,1,1,0
Caudan,20820,1,1,1
Caudan,20810,0,1,0
Perros-Guirec,20801,1,1,0
Caudan,20801,1,1,0
Perros-Guirec,20815,0,1,0
Perros-Guirec,20810,1,1,0
Caudan,20815,0,1,1
Callac,20820,1,1,1
Callac,20810,1,1,1
Callac,20801,1,1,0
Lanester,20820,1,1,1
Lanester,20810,1,1,1
Riantec,20801,0,0,0
Lanester,20815,0,1,0
Lanester,20801,0,1,1
Lanester,20810,1,1,0
Riantec,20820,1,1,1
Riantec,20815,0,1,1
Riantec,20810,1,1,1
Locmiquélic,20801,1,1,0
Ploubezre,20801,1,1,0
Perros-Guirec,20801,1,1,1
Saint-Quay-Perros,20810,1,1,1
Saint-Quay-Perros,20820,1,1,1
Saint-Quay-Perros,20801,1,1,0
Plounévez-Moëdec,20801,1,1,0
Saint-Caradec-Trégomel,20820,1,1,1
Saint-Caradec-Trégomel,20810,1,1,1
Riantec,20801,1,1,0
Lannion,20801,0,0,0
Lannion,20801,0,1,0
Lannion,20810,1,1,0
Caudan,20815,0,1,0
Saint-Servais,20820,1,1,0
Saint-Servais,20810,1,1,0
Saint-Servais,20815,0,1,0
Saint-Servais,20801,1,1,0
Ploubezre,20820,1,1,1
Ploubezre,20815,0,1,1
Ploubezre,20810,1,1,1
Lanester,20820,1,0,0
Lanester,20801,1,1,0
Lannion,20810,0,1,1
Plouay,20810,1,1,1
Plouay,20801,1,1,1
Plouay,20820,1,1,1
Plouay,20815,0,1,1
Perros-Guirec,20810,1,1,1
Plouray,20810,1,1,0
Plouray,20820,1,1,0
Plouray,20815,0,1,0
Plouray,20801,1,1,0
Belle-Isle-en-Terre,20810,1,1,0
Trégrom,20820,1,1,1
Trégrom,20810,1,1,0
Belle-Isle-en-Terre,20820,1,0,0
Kervignac,20810,1,1,0
Kervignac,20801,1,1,0
Rospez,20810,1,1,0
Rospez,20820,1,1,1
Hennebont,20801,1,1,0
Bangor,20810,1,1,0
Bangor,20801,1,1,0
Bangor,20820,1,1,0
Louannec,20815,0,1,1
Louannec,20820,1,1,0
Louannec,20810,0,1,1
Louannec,20820,1,1,1
Caouënnec-Lanvézéac,20820,1,1,0
Caouënnec-Lanvézéac,20801,1,1,0
Hennebont,20820,1,1,1
Hennebont,20810,1,1,1
Hennebont,20801,1,1,1
Hennebont,20815,0,1,1
Inguiniel,20810,1,1,1
Inguiniel,20820,1,1,1
Inguiniel,20815,0,1,1
Plouhinec,20815,0,1,0
Louargat,20820,1,1,1
Louargat,20810,1,1,1
Plouhinec,20810,1,1,1
Plouhinec,20820,1,1,1
Inzinzac-Lochrist,20820,1,1,1
Inzinzac-Lochrist,20815,0,1,1
Inzinzac-Lochrist,20810,1,1,1
Inzinzac-Lochrist,20801,1,1,0
Rostrenen,20820,1,1,1
Rostrenen,20801,1,1,1
Rostrenen,20810,1,1,1
Kervignac,20820,1,1,1
Kervignac,20815,0,1,1
Kervignac,20820,1,1,0
Lanvaudan,20820,1,1,1
Lanvaudan,20810,1,1,1
Lanvaudan,20815,0,1,0
Ploërdut,20801,1,1,0
Kergrist-Moëlou,20820,1,1,0
Kergrist-Moëlou,20810,1,1,0
Kergrist-Moëlou,20815,0,1,0
Kergrist-Moëlou,20801,1,1,0
Kervignac,20810,1,1,1
Coatréven,20801,1,1,0
Merlevenez,20815,0,1,1
Louargat,20820,1,1,0
Louargat,20801,1,1,0
Trévou-Tréguignec,20810,1,1,0
Trévou-Tréguignec,20815,0,1,1
Trévou-Tréguignec,20801,1,1,0
Trévou-Tréguignec,20820,1,1,1
Trévou-Tréguignec,20810,0,0,1
Merlevenez,20801,1,1,0
Ploërdut,20820,1,1,1
Ploërdut,20810,1,1,1
Le Palais,20801,1,1,1
Pont-Melvez,20820,1,1,1
Pont-Melvez,20810,1,1,1
Le Palais,20820,1,1,0
Pont-Melvez,20815,0,1,0
Le Palais,20810,1,1,0
Coatréven,20810,1,1,1
Coatréven,20820,1,1,1
Étel,20801,0,1,1
Étel,20810,1,1,1
Étel,20820,1,1,1
Plouguernével,20801,1,1,0
Bégard,20820,1,0,0
Belz,20801,1,1,1
Bégard,20801,1,1,1
Plouguernével,20815,0,1,1
